ReferringTicketID,1,2,3,4,5,6,7,8,9,10,11,12,13,JIRACheck
BOOKKEEPER-601,-,-,IA,OA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-602,-,-,IA,A,OA,A,F,-,-,-,-,-,-,AVS_NOT_CONSISTENT
BOOKKEEPER-603,-,-,IA,OA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-604,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-607,-,-,IA,OA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-610,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-617,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-619,-,-,-,IOA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-620,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-621,-,-,-,IOA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-623,IA,A,A,OA,F,-,-,-,-,-,-,-,-,AV_AFTER_FV
BOOKKEEPER-624,-,-,-,IOA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-625,-,-,-,IOA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-626,IA,A,A,OA,F,-,-,-,-,-,-,-,-,AV_AFTER_FV
BOOKKEEPER-632,IA,A,A,OA,F,-,-,-,-,-,-,-,-,AV_AFTER_FV
BOOKKEEPER-633,IA,A,A,OA,F,-,-,-,-,-,-,-,-,IV_AFTER_OV*AV_AFTER_FV
BOOKKEEPER-635,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-636,IA,A,A,OA,F,-,-,-,-,-,-,-,-,AV_AFTER_FV
BOOKKEEPER-638,IA,A,A,A,OA,F,-,-,-,-,-,-,-,IV_AFTER_OV*FV_AS_AV
BOOKKEEPER-641,-,-,-,IOA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-642,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-646,-,-,-,IOA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-649,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-652,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-654,-,-,IA,A,OA,A,F,-,-,-,-,-,-,AVS_NOT_CONSISTENT
BOOKKEEPER-660,-,-,IA,OA,F,-,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
BOOKKEEPER-663,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-664,-,-,-,IA,OA,F,-,-,-,-,-,-,-,AVS_NOT_CONSISTENT
BOOKKEEPER-667,-,-,-,IOA,F,-,-,-,-,-,-,-,-,OK
BOOKKEEPER-668,IA,A,A,OA,F,-,-,-,-,-,-,-,-,AV_AFTER_FV
BOOKKEEPER-669,IA,A,A,OA,F,-,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-673,IA,A,A,A,OA,F,-,-,-,-,-,-,-,NOT_REPORTED
BOOKKEEPER-676,IA,A,A,A,OA,F,-,-,-,-,-,-,-,NOT_REPORTED
